INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-09-06T06:00:00-00:00,2022-09-06T07:00:00-00:00,0,2022-09-05,24,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2623,ACTUAL,3
2022-09-05T15:00:00-00:00,2022-09-05T16:00:00-00:00,0,2022-09-05,9,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2524,ACTUAL,3
2022-09-05T14:00:00-00:00,2022-09-05T15:00:00-00:00,0,2022-09-05,8,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2221,ACTUAL,3
2022-09-05T17:00:00-00:00,2022-09-05T18:00:00-00:00,0,2022-09-05,11,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3234,ACTUAL,3
2022-09-05T21:00:00-00:00,2022-09-05T22:00:00-00:00,0,2022-09-05,15,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4402,ACTUAL,3
2022-09-05T23:00:00-00:00,2022-09-06T00:00:00-00:00,0,2022-09-05,17,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,649,ACTUAL,4
2022-09-05T15:00:00-00:00,2022-09-05T16:00:00-00:00,0,2022-09-05,9,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,327,ACTUAL,4
2022-09-06T05:00:00-00:00,2022-09-06T06:00:00-00:00,0,2022-09-05,23,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,488,ACTUAL,4
2022-09-05T08:00:00-00:00,2022-09-05T09:00:00-00:00,0,2022-09-05,2,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,333,ACTUAL,4
2022-09-05T09:00:00-00:00,2022-09-05T10:00:00-00:00,0,2022-09-05,3,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,313,ACTUAL,4
2022-09-05T13:00:00-00:00,2022-09-05T14:00:00-00:00,0,2022-09-05,7,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,295,ACTUAL,4
2022-09-05T19:00:00-00:00,2022-09-05T20:00:00-00:00,0,2022-09-05,13,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,511,ACTUAL,4
2022-09-05T22:00:00-00:00,2022-09-05T23:00:00-00:00,0,2022-09-05,16,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,629,ACTUAL,4
2022-09-06T06:00:00-00:00,2022-09-06T07:00:00-00:00,0,2022-09-05,24,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,445,ACTUAL,4
2022-09-05T10:00:00-00:00,2022-09-05T11:00:00-00:00,0,2022-09-05,4,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,299,ACTUAL,4
2022-09-05T16:00:00-00:00,2022-09-05T17:00:00-00:00,0,2022-09-05,10,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,363,ACTUAL,4
2022-09-05T12:00:00-00:00,2022-09-05T13:00:00-00:00,0,2022-09-05,6,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,291,ACTUAL,4
2022-09-06T01:00:00-00:00,2022-09-06T02:00:00-00:00,0,2022-09-05,19,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,641,ACTUAL,4
2022-09-05T20:00:00-00:00,2022-09-05T21:00:00-00:00,0,2022-09-05,14,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,556,ACTUAL,4
2022-09-06T03:00:00-00:00,2022-09-06T04:00:00-00:00,0,2022-09-05,21,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,582,ACTUAL,4
2022-09-05T07:00:00-00:00,2022-09-05T08:00:00-00:00,0,2022-09-05,1,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,360,ACTUAL,4
2022-09-05T11:00:00-00:00,2022-09-05T12:00:00-00:00,0,2022-09-05,5,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,291,ACTUAL,4
2022-09-05T14:00:00-00:00,2022-09-05T15:00:00-00:00,0,2022-09-05,8,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,304,ACTUAL,4
2022-09-05T17:00:00-00:00,2022-09-05T18:00:00-00:00,0,2022-09-05,11,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,411,ACTUAL,4
2022-09-06T00:00:00-00:00,2022-09-06T01:00:00-00:00,0,2022-09-05,18,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,653,ACTUAL,4
2022-09-06T02:00:00-00:00,2022-09-06T03:00:00-00:00,0,2022-09-05,20,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,613,ACTUAL,4
2022-09-05T18:00:00-00:00,2022-09-05T19:00:00-00:00,0,2022-09-05,12,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,461,ACTUAL,4
2022-09-05T21:00:00-00:00,2022-09-05T22:00:00-00:00,0,2022-09-05,15,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,596,ACTUAL,4
2022-09-06T04:00:00-00:00,2022-09-06T05:00:00-00:00,0,2022-09-05,22,0,ACTUAL,BANCMID,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,540,ACTUAL,4
2022-09-05T16:00:00-00:00,2022-09-05T17:00:00-00:00,0,2022-09-05,10,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,134,ACTUAL,5
2022-09-05T11:00:00-00:00,2022-09-05T12:00:00-00:00,0,2022-09-05,5,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,97,ACTUAL,5
2022-09-05T21:00:00-00:00,2022-09-05T22:00:00-00:00,0,2022-09-05,15,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,237,ACTUAL,5
2022-09-05T10:00:00-00:00,2022-09-05T11:00:00-00:00,0,2022-09-05,4,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,96,ACTUAL,5
2022-09-05T18:00:00-00:00,2022-09-05T19:00:00-00:00,0,2022-09-05,12,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,177,ACTUAL,5
2022-09-05T09:00:00-00:00,2022-09-05T10:00:00-00:00,0,2022-09-05,3,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,99,ACTUAL,5
2022-09-05T07:00:00-00:00,2022-09-05T08:00:00-00:00,0,2022-09-05,1,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,112,ACTUAL,5
2022-09-06T04:00:00-00:00,2022-09-06T05:00:00-00:00,0,2022-09-05,22,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,183,ACTUAL,5
2022-09-06T00:00:00-00:00,2022-09-06T01:00:00-00:00,0,2022-09-05,18,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,258,ACTUAL,5
2022-09-05T19:00:00-00:00,2022-09-05T20:00:00-00:00,0,2022-09-05,13,0,ACTUAL,BANCRDNG,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,200,ACTUAL,5
