INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,33.02,DAM,9
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,40.36,DAM,9
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BANCWASN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,44.11,DAM,9
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6002.42,DAM,10
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7043.26,DAM,10
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7455.87,DAM,10
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7487.21,DAM,10
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6431.84,DAM,10
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6834.55,DAM,10
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,BPAT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7294.61,DAM,10
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,34567.49,DAM,11
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,37075.8,DAM,11
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,37407.83,DAM,11
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,35903.3,DAM,11
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,29472.35,DAM,11
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,32140.85,DAM,11
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,37908.05,DAM,11
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,EPE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1227.48,DAM,12
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,EPE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1866.81,DAM,12
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,EPE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1469.04,DAM,12
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,EPE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1686.77,DAM,12
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,EPE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1337.34,DAM,12
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,EPE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1765.13,DAM,12
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,EPE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1603.93,DAM,12
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,IPCO,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3049.99,DAM,13
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,IPCO,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3219.57,DAM,13
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,IPCO,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3489.55,DAM,13
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,IPCO,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2812.92,DAM,13
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,IPCO,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3337.02,DAM,13
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,IPCO,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2628.92,DAM,13
